"postage",": the fee for postal service : adhesive stamps or printed indicia representing postal fees"
"projects",": a specific plan or design : SCHEME : IDEA : a planned undertaking: such as : a definitely formulated piece of research : a large usually government-supported undertaking : a task or problem engaged in usually by a group of students to supplement and apply classroom studies : a usually public housing development consisting of houses or apartments built and arranged according to a single plan"
"proliferation",": to grow by rapid production of new parts, cells, buds, or offspring : to increase in number as if by proliferating : MULTIPLY"
"prolific",": producing young or fruit especially freely : FRUITFUL : causing abundant growth, generation, or reproduction : marked by abundant inventiveness or productivity"
"prologue",": the preface or introduction to a literary work : a speech often in verse addressed to the audience by an actor at the beginning of a play : the actor speaking such a prologue : an introductory or preceding event or development"
"prolong",": to lengthen in time : CONTINUE : to lengthen in extent, scope, or range"
"prolonged",": continuing for a notably long time : extended in duration"
"prom",": a formal dance given by a high school or college class : PROMENADE sense 2"
"promenade",": to take or go on a promenade : to perform a promenade in a dance"
"prominence",": something prominent : PROJECTION : the quality, state, or fact of being prominent or conspicuous : a mass of gas resembling a cloud that arises from the chromosphere of the sun"
"prominent",": standing out or projecting beyond a surface or line : PROTUBERANT : readily noticeable : CONSPICUOUS : widely and popularly known : LEADING"
"prominently",": standing out or projecting beyond a surface or line : PROTUBERANT : readily noticeable : CONSPICUOUS : widely and popularly known : LEADING"
"promise",": a declaration that one will do or refrain from doing something specified : a legally binding declaration that gives the person to whom it is made a right to expect or to claim the performance or forbearance of a specified act : reason to expect something : ground for expectation of success, improvement, or excellence : something that is promised"
"promised",": a declaration that one will do or refrain from doing something specified : a legally binding declaration that gives the person to whom it is made a right to expect or to claim the performance or forbearance of a specified act : reason to expect something : ground for expectation of success, improvement, or excellence : something that is promised"
"promises",": a declaration that one will do or refrain from doing something specified : a legally binding declaration that gives the person to whom it is made a right to expect or to claim the performance or forbearance of a specified act : reason to expect something : ground for expectation of success, improvement, or excellence : something that is promised"
"promising",": full of promise : likely to succeed or to yield good results"
"promo",": a promotional announcement, blurb, or appearance"
"promos",": a promotional announcement, blurb, or appearance"
"promote",": to advance in station, rank, or honor : RAISE : to change (a pawn) into a piece in chess by moving to the eighth rank : to advance (a student) from one grade to the next higher grade : to contribute to the growth or prosperity of : FURTHER : to help bring (something, such as an enterprise) into being : LAUNCH : to present (merchandise) for buyer acceptance through advertising, publicity, or discounting : to get possession of by doubtful means or by ingenuity"
"promoted",": to advance in station, rank, or honor : RAISE : to change (a pawn) into a piece in chess by moving to the eighth rank : to advance (a student) from one grade to the next higher grade : to contribute to the growth or prosperity of : FURTHER : to help bring (something, such as an enterprise) into being : LAUNCH : to present (merchandise) for buyer acceptance through advertising, publicity, or discounting : to get possession of by doubtful means or by ingenuity"
"promoter",": one that promotes : one who assumes the financial responsibilities of a sporting event (such as a boxing match) including contracting with the principals, renting the site, and collecting gate receipts : PROSECUTOR : a substance that in very small amounts is able to increase the activity of a catalyst : a binding site in a DNA chain at which RNA polymerase binds to initiate transcription of messenger RNA by one or more nearby structural genes"
"promoters",": one that promotes : one who assumes the financial responsibilities of a sporting event (such as a boxing match) including contracting with the principals, renting the site, and collecting gate receipts : PROSECUTOR : a substance that in very small amounts is able to increase the activity of a catalyst : a binding site in a DNA chain at which RNA polymerase binds to initiate transcription of messenger RNA by one or more nearby structural genes"
"promotes",": to advance in station, rank, or honor : RAISE : to change (a pawn) into a piece in chess by moving to the eighth rank : to advance (a student) from one grade to the next higher grade : to contribute to the growth or prosperity of : FURTHER : to help bring (something, such as an enterprise) into being : LAUNCH : to present (merchandise) for buyer acceptance through advertising, publicity, or discounting : to get possession of by doubtful means or by ingenuity"
"promoting",": to advance in station, rank, or honor : RAISE : to change (a pawn) into a piece in chess by moving to the eighth rank : to advance (a student) from one grade to the next higher grade : to contribute to the growth or prosperity of : FURTHER : to help bring (something, such as an enterprise) into being : LAUNCH : to present (merchandise) for buyer acceptance through advertising, publicity, or discounting : to get possession of by doubtful means or by ingenuity"
"promotion",": the act or fact of being raised in position or rank : PREFERMENT : the act of furthering the growth or development of something : the furtherance of the acceptance and sale of merchandise through advertising, publicity, or discounting"
"promotional",": the act or fact of being raised in position or rank : PREFERMENT : the act of furthering the growth or development of something : the furtherance of the acceptance and sale of merchandise through advertising, publicity, or discounting"
"promotions",": the act or fact of being raised in position or rank : PREFERMENT : the act of furthering the growth or development of something : the furtherance of the acceptance and sale of merchandise through advertising, publicity, or discounting"
"prompt",": to move to action : INCITE : to assist (one acting or reciting) by suggesting or saying the next words of something forgotten or imperfectly learned : CUE : to serve as the inciting cause of"
"prompted",": to move to action : INCITE : to assist (one acting or reciting) by suggesting or saying the next words of something forgotten or imperfectly learned : CUE : to serve as the inciting cause of"
"prompting",": to move to action : INCITE : to assist (one acting or reciting) by suggesting or saying the next words of something forgotten or imperfectly learned : CUE : to serve as the inciting cause of"
"promptly",": in a prompt manner : without delay : very quickly or immediately : exactly at a particular time or the correct time"
"prompts",": to move to action : INCITE : to assist (one acting or reciting) by suggesting or saying the next words of something forgotten or imperfectly learned : CUE : to serve as the inciting cause of"
"prone",": having a tendency or inclination : being likely : having the front or ventral surface of a body facing downward : lying with the chest and stomach positioned downward : lying flat or prostrate"
"prong",": FORK : a tine of a fork : a slender pointed or projecting part: such as : a fang of a tooth : a point of an antler : something resembling a prong"
"pronoun",": any of a small set of words (such as I, she, he, you, it, we, or they) in a language that are used as substitutes for nouns or noun phrases and whose referents are named or understood in the context : the third person personal pronouns (such as he/him, she/her, and they/them) that a person goes by"
"pronounce",": to declare officially or ceremoniously : to declare authoritatively or as an opinion : to employ the organs of speech to produce : to say correctly : to represent in printed characters the spoken counterpart of (an orthographic representation) : RECITE"
"pronounced",": strongly marked : DECIDED"
"pronouns",": any of a small set of words (such as I, she, he, you, it, we, or they) in a language that are used as substitutes for nouns or noun phrases and whose referents are named or understood in the context : the third person personal pronouns (such as he/him, she/her, and they/them) that a person goes by"
"pronunciation",": the act or manner of pronouncing something"
"proof",": the cogency of evidence that compels acceptance by the mind of a truth or a fact : the process or an instance of establishing the validity of a statement especially by derivation from other statements in accordance with principles of reasoning : EXPERIENCE : something that induces certainty or establishes validity : the quality or state of having been tested or tried : unyielding hardness : evidence operating to determine the finding or judgment of a tribunal : a copy (as of typeset text) made for examination or correction : a test impression of an engraving, etching, or lithograph : a coin that is struck from a highly polished die on a polished planchet, is not intended for circulation, and sometimes differs in metallic content from coins of identical design struck for circulation : a test photographic print made from a negative : a test applied to articles or substances to determine whether they are of standard or satisfactory quality : the minimum alcoholic strength of proof spirit : strength with reference to the standard for proof spirit : alcoholic strength indicated by a number that is twice the percent by volume of alcohol present"
"proofs",": the cogency of evidence that compels acceptance by the mind of a truth or a fact : the process or an instance of establishing the validity of a statement especially by derivation from other statements in accordance with principles of reasoning : EXPERIENCE : something that induces certainty or establishes validity : the quality or state of having been tested or tried : unyielding hardness : evidence operating to determine the finding or judgment of a tribunal : a copy (as of typeset text) made for examination or correction : a test impression of an engraving, etching, or lithograph : a coin that is struck from a highly polished die on a polished planchet, is not intended for circulation, and sometimes differs in metallic content from coins of identical design struck for circulation : a test photographic print made from a negative : a test applied to articles or substances to determine whether they are of standard or satisfactory quality : the minimum alcoholic strength of proof spirit : strength with reference to the standard for proof spirit : alcoholic strength indicated by a number that is twice the percent by volume of alcohol present"
"prop",": something that props or sustains : SUPPORT"
"propaganda",": a congregation of the Roman curia having jurisdiction over missionary territories and related institutions : the spreading of ideas, information, or rumor for the purpose of helping or injuring an institution, a cause, or a person : ideas, facts, or allegations spread deliberately to further one's cause or to damage an opposing cause : a public action having such an effect"
"propagate",": to cause to continue or increase by sexual or asexual reproduction : to pass along to offspring : to cause to spread out and affect a greater number or greater area : EXTEND : to foster growing knowledge of, familiarity with, or acceptance of (something, such as an idea or belief) : PUBLICIZE : to transmit (something, such as sound or light) through a medium"
"propagation",": the act or action of propagating: such as : increase (as of a kind of organism) in numbers : the spreading of something (such as a belief) abroad or into new regions : enlargement or extension (as of a crack) in a solid body"
"propane",": a heavy flammable gaseous alkane C3H8 found in crude petroleum and natural gas and used especially as fuel and in chemical synthesis"
"propel",": to drive forward or onward by or as if by means of a force that imparts motion"
"propelled",": to drive forward or onward by or as if by means of a force that imparts motion"
"propeller",": one that propels : a device that consists of a central hub with radiating blades placed and twisted so that each forms part of a helical surface and that is used to propel a vehicle (such as a ship or airplane)"
"propensity",": an often intense natural inclination or preference"
"proper",": referring to one individual only : belonging to one : OWN : appointed for the liturgy of a particular day : represented heraldically in natural color : belonging characteristically to a species or individual : PECULIAR : GOOD-LOOKING, HANDSOME : very good : EXCELLENT : UTTER, ABSOLUTE : strictly limited to a specified thing, place, or idea : strictly accurate : CORRECT : VIRTUOUS, RESPECTABLE : strictly decorous : GENTEEL : marked by suitability, rightness, or appropriateness : FIT : being a mathematical subset (such as a subgroup) that does not contain all the elements of the inclusive set from which it is derived"
"properly",": in a proper manner: : in an acceptable or suitable way : in an accurate or correct way"
"properties",": a quality or trait belonging and especially peculiar to an individual or thing : an effect that an object has on another object or on the senses : VIRTUE sense 2 : an attribute common to all members of a class : something owned or possessed : a piece of real estate : the exclusive right to possess, enjoy, and dispose of a thing : OWNERSHIP : something to which a person or business has a legal title : one (such as a performer) who is under contract and whose work is especially valuable : a book or script purchased for publication or production : an article or object used in a play or motion picture except painted scenery and costumes"
"property",": a quality or trait belonging and especially peculiar to an individual or thing : an effect that an object has on another object or on the senses : VIRTUE sense 2 : an attribute common to all members of a class : something owned or possessed : a piece of real estate : the exclusive right to possess, enjoy, and dispose of a thing : OWNERSHIP : something to which a person or business has a legal title : one (such as a performer) who is under contract and whose work is especially valuable : a book or script purchased for publication or production : an article or object used in a play or motion picture except painted scenery and costumes"
"prophecies",": an inspired utterance of a prophet : the function or vocation of a prophet : the inspired declaration of divine will and purpose : a prediction of something to come"
"prophecy",": an inspired utterance of a prophet : the function or vocation of a prophet : the inspired declaration of divine will and purpose : a prediction of something to come"
"prophet",": one who utters divinely inspired revelations: such as : the writer of one of the prophetic books of the Bible : one regarded by a group of followers as the final authoritative revealer of God's will : one gifted with more than ordinary spiritual and moral insight : an inspired poet : one who foretells future events : PREDICTOR : an effective or leading spokesman for a cause, doctrine, or group : a spiritual seer : disappearance of material sense before the conscious facts of spiritual Truth"
"prophetic",": of, relating to, or characteristic of a prophet or prophecy : foretelling events : PREDICTIVE"
"proponent",": one who argues in favor of something : ADVOCATE"
"proponents",": one who argues in favor of something : ADVOCATE"
"proportion",": harmonious relation of parts to each other or to the whole : BALANCE, SYMMETRY : proper or equal share : QUOTA, PERCENTAGE : the relation of one part to another or to the whole with respect to magnitude, quantity, or degree : RATIO : SIZE entry 1, DIMENSION : a statement of equality between two ratios in which the first of the four terms divided by the second equals the third divided by the fourth (as in 4/2=10/5)
compare EXTREME sense 1b, MEAN sense 1c"
"proportional",": a number or quantity in a proportion"
"proportionate",": PROPORTIONAL sense 1"
"proportions",": harmonious relation of parts to each other or to the whole : BALANCE, SYMMETRY : proper or equal share : QUOTA, PERCENTAGE : the relation of one part to another or to the whole with respect to magnitude, quantity, or degree : RATIO : SIZE entry 1, DIMENSION : a statement of equality between two ratios in which the first of the four terms divided by the second equals the third divided by the fourth (as in 4/2=10/5)
compare EXTREME sense 1b, MEAN sense 1c"
"proposal",": an act of putting forward or stating something for consideration : something proposed : SUGGESTION : OFFER : an offer of marriage"
"proposals",": an act of putting forward or stating something for consideration : something proposed : SUGGESTION : OFFER : an offer of marriage"
"propose",": to form or put forward a plan or intention : to engage in talk or discussion : to make an offer of marriage"
"proposed",": to form or put forward a plan or intention : to engage in talk or discussion : to make an offer of marriage"
"proposes",": to form or put forward a plan or intention : to engage in talk or discussion : to make an offer of marriage"
"proposing",": to form or put forward a plan or intention : to engage in talk or discussion : to make an offer of marriage"
"proposition",": something offered for consideration or acceptance : PROPOSAL : a request for sexual intercourse : the point to be discussed or maintained in argument usually stated in sentence form near the outset : a theorem or problem to be demonstrated or performed : an expression in language or signs of something that can be believed, doubted, or denied or is either true or false : the objective meaning of a proposition : something of an indicated kind to be dealt with"
"propositions",": something offered for consideration or acceptance : PROPOSAL : a request for sexual intercourse : the point to be discussed or maintained in argument usually stated in sentence form near the outset : a theorem or problem to be demonstrated or performed : an expression in language or signs of something that can be believed, doubted, or denied or is either true or false : the objective meaning of a proposition : something of an indicated kind to be dealt with"
"propped",": something that props or sustains : SUPPORT"
"proprietary",": one that possesses, owns, or holds exclusive right to something : PROPRIETOR sense 1 : something that is used, produced, or marketed under exclusive legal right of the inventor or maker : a drug (such as a patent medicine) that is protected by secrecy, patent, or copyright against free competition as to name, product, composition, or process of manufacture : a business secretly owned by and run as a cover for an intelligence organization"
"proprietor",": one granted ownership of a colony (such as one of the original American colonies) and full prerogatives of establishing a government and distributing land : a person who has the legal right or exclusive title to something : OWNER : one having an interest (such as control or present use) less than absolute and exclusive right"
"props",": DUE sense a : RESPECT : CREDIT sense 6b"
"propulsion",": the action or process of propelling : something that propels"
"pros",": in front"
"prose",": the ordinary language people use in speaking or writing : a literary medium distinguished from poetry especially by its greater irregularity and variety of rhythm and its closer correspondence to the patterns of everyday speech : a dull or ordinary style, quality, or condition"
"prosecute",": to follow to the end : pursue until finished : to engage in : PERFORM : to bring legal action against for redress or punishment of a crime or violation of law : to institute legal proceedings with reference to"
"prosecuted",": to follow to the end : pursue until finished : to engage in : PERFORM : to bring legal action against for redress or punishment of a crime or violation of law : to institute legal proceedings with reference to"
"prosecuting",": to follow to the end : pursue until finished : to engage in : PERFORM : to bring legal action against for redress or punishment of a crime or violation of law : to institute legal proceedings with reference to"
"prosecution",": the act or process of prosecuting : the institution and continuance of a criminal suit involving the process of pursuing formal charges against an offender to final judgment : the party by whom criminal proceedings are instituted or conducted : PURSUIT"
"prosecutions",": the act or process of prosecuting : the institution and continuance of a criminal suit involving the process of pursuing formal charges against an offender to final judgment : the party by whom criminal proceedings are instituted or conducted : PURSUIT"
"prosecutor",": a person who institutes a prosecution before a court : PROSECUTING ATTORNEY"
"prosecutors",": a person who institutes a prosecution before a court : PROSECUTING ATTORNEY"
"prospect",": EXPOSURE sense 3b : an extensive view : a mental consideration : SURVEY : a place that commands an extensive view : LOOKOUT : something extended to the view : SCENE : a sketch or picture of a scene : ASPECT : the act of looking forward : ANTICIPATION : a mental picture of something to come : VISION : something that is awaited or expected : POSSIBILITY : financial expectations : CHANCES : a place showing signs of containing a mineral deposit : a potential buyer or customer : a likely candidate for a job or position"
"prospective","Definition not found"
"prospects","Definition not found"
"prospectus","Definition not found"
"prosper","Definition not found"
"prosperity","Definition not found"
"prosperous","Definition not found"
"prostate","Definition not found"
"prosthetic","Definition not found"
"prostitute","Definition not found"
"prostitutes","Definition not found"
"prostitution","Definition not found"
"protagonist","Definition not found"
"protagonists","Definition not found"
"protect","Definition not found"
"protected","Definition not found"
"protecting",": to cover or shield from exposure, injury, damage, or destruction : GUARD : DEFEND sense 1c : to maintain the status or integrity of especially through financial or legal guarantees: such as : to save from contingent financial loss : to foster or shield from infringement or restriction : to restrict competition for (something, such as a domestic industry) by means of tariffs or trade controls : DEFEND sense 5"
"protection",": the act of protecting : the state of being protected : one that protects : supervision or support of one that is smaller and weaker : a contraceptive device (such as a condom) : the freeing of the producers of a country from foreign competition in their home market by restrictions (such as high duties) on foreign competitive goods : immunity from prosecution purchased by criminals through bribery : money extorted by racketeers posing as a protective association : COVERAGE sense 1a : anchoring equipment placed in cracks for safety while rock climbing"
"protections",": the act of protecting : the state of being protected : one that protects : supervision or support of one that is smaller and weaker : a contraceptive device (such as a condom) : the freeing of the producers of a country from foreign competition in their home market by restrictions (such as high duties) on foreign competitive goods : immunity from prosecution purchased by criminals through bribery : money extorted by racketeers posing as a protective association : COVERAGE sense 1a : anchoring equipment placed in cracks for safety while rock climbing"
"protective",": to cover or shield from exposure, injury, damage, or destruction : GUARD : DEFEND sense 1c : to maintain the status or integrity of especially through financial or legal guarantees: such as : to save from contingent financial loss : to foster or shield from infringement or restriction : to restrict competition for (something, such as a domestic industry) by means of tariffs or trade controls : DEFEND sense 5"
"protector",": one that protects : GUARDIAN : a device used to prevent injury : GUARD : one having the care of a kingdom during the king's minority : REGENT : the executive head of the Commonwealth of England, Scotland, and Ireland from 1653 to 1659"
"protectors",": one that protects : GUARDIAN : a device used to prevent injury : GUARD : one having the care of a kingdom during the king's minority : REGENT : the executive head of the Commonwealth of England, Scotland, and Ireland from 1653 to 1659"
"protects",": to cover or shield from exposure, injury, damage, or destruction : GUARD : DEFEND sense 1c : to maintain the status or integrity of especially through financial or legal guarantees: such as : to save from contingent financial loss : to foster or shield from infringement or restriction : to restrict competition for (something, such as a domestic industry) by means of tariffs or trade controls : DEFEND sense 5"
"protein",": any of various naturally occurring extremely complex substances that consist of amino-acid residues joined by peptide bonds, contain the elements carbon, hydrogen, nitrogen, oxygen, usually sulfur, and occasionally other elements (such as phosphorus or iron), and include many essential biological compounds (such as enzymes, hormones, or antibodies) : the total nitrogenous material in plant or animal substances : a food (such as meat or tofu) that is rich in protein"
"proteins",": any of various naturally occurring extremely complex substances that consist of amino-acid residues joined by peptide bonds, contain the elements carbon, hydrogen, nitrogen, oxygen, usually sulfur, and occasionally other elements (such as phosphorus or iron), and include many essential biological compounds (such as enzymes, hormones, or antibodies) : the total nitrogenous material in plant or animal substances : a food (such as meat or tofu) that is rich in protein"
"protest",": a solemn declaration of opinion and usually of dissent: such as : a sworn declaration that payment of a note or bill has been refused and that all responsible signers or debtors are liable for resulting loss or damage : a declaration made especially before or while paying that a tax is illegal and that payment is not voluntary : the act of objecting or a gesture of disapproval : a usually organized public demonstration of disapproval : a complaint, objection, or display of unwillingness usually to an idea or a course of action : an objection made to an official or a governing body of a sport"
"protestant",": any of a group of German princes and cities presenting a defense of freedom of conscience against an edict of the Diet of Speyer in 1529 intended to suppress the Lutheran movement : a member of any of several church denominations denying the universal authority of the Pope and affirming the Reformation principles of justification by faith alone, the priesthood of all believers, and the primacy of the Bible as the only source of revealed truth : a Christian not of a Catholic or Eastern church : one who makes or enters a protest"
"protestants",": any of a group of German princes and cities presenting a defense of freedom of conscience against an edict of the Diet of Speyer in 1529 intended to suppress the Lutheran movement : a member of any of several church denominations denying the universal authority of the Pope and affirming the Reformation principles of justification by faith alone, the priesthood of all believers, and the primacy of the Bible as the only source of revealed truth : a Christian not of a Catholic or Eastern church : one who makes or enters a protest"
"protested",": a solemn declaration of opinion and usually of dissent: such as : a sworn declaration that payment of a note or bill has been refused and that all responsible signers or debtors are liable for resulting loss or damage : a declaration made especially before or while paying that a tax is illegal and that payment is not voluntary : the act of objecting or a gesture of disapproval : a usually organized public demonstration of disapproval : a complaint, objection, or display of unwillingness usually to an idea or a course of action : an objection made to an official or a governing body of a sport"
"protester",": a solemn declaration of opinion and usually of dissent: such as : a sworn declaration that payment of a note or bill has been refused and that all responsible signers or debtors are liable for resulting loss or damage : a declaration made especially before or while paying that a tax is illegal and that payment is not voluntary : the act of objecting or a gesture of disapproval : a usually organized public demonstration of disapproval : a complaint, objection, or display of unwillingness usually to an idea or a course of action : an objection made to an official or a governing body of a sport"
"protesters",": a solemn declaration of opinion and usually of dissent: such as : a sworn declaration that payment of a note or bill has been refused and that all responsible signers or debtors are liable for resulting loss or damage : a declaration made especially before or while paying that a tax is illegal and that payment is not voluntary : the act of objecting or a gesture of disapproval : a usually organized public demonstration of disapproval : a complaint, objection, or display of unwillingness usually to an idea or a course of action : an objection made to an official or a governing body of a sport"
"protesting",": a solemn declaration of opinion and usually of dissent: such as : a sworn declaration that payment of a note or bill has been refused and that all responsible signers or debtors are liable for resulting loss or damage : a declaration made especially before or while paying that a tax is illegal and that payment is not voluntary : the act of objecting or a gesture of disapproval : a usually organized public demonstration of disapproval : a complaint, objection, or display of unwillingness usually to an idea or a course of action : an objection made to an official or a governing body of a sport"
"protestors",": a solemn declaration of opinion and usually of dissent: such as : a sworn declaration that payment of a note or bill has been refused and that all responsible signers or debtors are liable for resulting loss or damage : a declaration made especially before or while paying that a tax is illegal and that payment is not voluntary : the act of objecting or a gesture of disapproval : a usually organized public demonstration of disapproval : a complaint, objection, or display of unwillingness usually to an idea or a course of action : an objection made to an official or a governing body of a sport"
"protests",": a solemn declaration of opinion and usually of dissent: such as : a sworn declaration that payment of a note or bill has been refused and that all responsible signers or debtors are liable for resulting loss or damage : a declaration made especially before or while paying that a tax is illegal and that payment is not voluntary : the act of objecting or a gesture of disapproval : a usually organized public demonstration of disapproval : a complaint, objection, or display of unwillingness usually to an idea or a course of action : an objection made to an official or a governing body of a sport"
"protocol",": an original draft, minute, or record of a document or transaction : a preliminary memorandum often formulated and signed by diplomatic negotiators as a basis for a final convention or treaty : the records or minutes of a diplomatic conference or congress that show officially the agreements arrived at by the negotiators : a code prescribing strict adherence to correct etiquette and precedence (as in diplomatic exchange and in the military services) : a set of conventions governing the treatment and especially the formatting of data in an electronic communications system : CONVENTION sense 3a,b : a detailed plan of a scientific or medical experiment, treatment, or procedure"
"protocols",": an original draft, minute, or record of a document or transaction : a preliminary memorandum often formulated and signed by diplomatic negotiators as a basis for a final convention or treaty : the records or minutes of a diplomatic conference or congress that show officially the agreements arrived at by the negotiators : a code prescribing strict adherence to correct etiquette and precedence (as in diplomatic exchange and in the military services) : a set of conventions governing the treatment and especially the formatting of data in an electronic communications system : CONVENTION sense 3a,b : a detailed plan of a scientific or medical experiment, treatment, or procedure"
"proton",": an elementary particle that is identical with the nucleus of the hydrogen atom, that along with the neutron is a constituent of all other atomic nuclei, that carries a positive charge numerically equal to the charge of an electron, and that has a mass of 1.673 × 10−27 kilogram"
"protons",": an elementary particle that is identical with the nucleus of the hydrogen atom, that along with the neutron is a constituent of all other atomic nuclei, that carries a positive charge numerically equal to the charge of an electron, and that has a mass of 1.673 × 10−27 kilogram"
"prototype",": an original model on which something is patterned : ARCHETYPE : an individual that exhibits the essential features of a later type : a standard or typical example : a first full-scale and usually functional form of a new type or design of a construction (such as an airplane)"
"prototypes",": an original model on which something is patterned : ARCHETYPE : an individual that exhibits the essential features of a later type : a standard or typical example : a first full-scale and usually functional form of a new type or design of a construction (such as an airplane)"
"protracted",": to prolong in time or space : CONTINUE : to extend forward or outward
compare RETRACT sense 1 : DELAY, DEFER"
"protruding",": to jut out from the surrounding surface or context"
"proud",": feeling or showing pride: such as : having or displaying excessive self-esteem : much pleased : EXULTANT : having proper self-respect : marked by stateliness : MAGNIFICENT : giving reason for pride : GLORIOUS : VIGOROUS, SPIRITED : raised above a surrounding area"
"proudly",": feeling or showing pride: such as : having or displaying excessive self-esteem : much pleased : EXULTANT : having proper self-respect : marked by stateliness : MAGNIFICENT : giving reason for pride : GLORIOUS : VIGOROUS, SPIRITED : raised above a surrounding area"
"prove",": to establish the existence, truth, or validity of (as by evidence or logic) : to demonstrate as having a particular quality or worth : to show (oneself) to be worthy or capable : to test the truth, validity, or genuineness of : to test the worth or quality of : to compare against a standard : to check the correctness of (something, such as an arithmetic result) : to learn or find out by experience"
"proved",": to establish the existence, truth, or validity of (as by evidence or logic) : to demonstrate as having a particular quality or worth : to show (oneself) to be worthy or capable : to test the truth, validity, or genuineness of : to test the worth or quality of : to compare against a standard : to check the correctness of (something, such as an arithmetic result) : to learn or find out by experience"
"proven",": to establish the existence, truth, or validity of (as by evidence or logic) : to demonstrate as having a particular quality or worth : to show (oneself) to be worthy or capable : to test the truth, validity, or genuineness of : to test the worth or quality of : to compare against a standard : to check the correctness of (something, such as an arithmetic result) : to learn or find out by experience"
"provenance",": ORIGIN, SOURCE : the history of ownership of a valued object or work of art or literature"
"proverb",": a brief popular epigram or maxim : ADAGE : BYWORD sense 4"
"proverbial",": of, relating to, or resembling a proverb : that has become a proverb or byword : commonly spoken of"
"proves",": to establish the existence, truth, or validity of (as by evidence or logic) : to demonstrate as having a particular quality or worth : to show (oneself) to be worthy or capable : to test the truth, validity, or genuineness of : to test the worth or quality of : to compare against a standard : to check the correctness of (something, such as an arithmetic result) : to learn or find out by experience"
"provide",": to supply or make available (something wanted or needed) : AFFORD : to make something available to : to have as a condition : STIPULATE : to prepare in advance"
"provided",": on condition that : with the understanding : IF"
"providence",": divine guidance or care : God conceived as the power sustaining and guiding human destiny : the quality or state of being provident"
"provider",": one that provides : BREADWINNER"
"providers",": one that provides : BREADWINNER"
"provides",": to supply or make available (something wanted or needed) : AFFORD : to make something available to : to have as a condition : STIPULATE : to prepare in advance"
"providing",": on condition that : in case"
"province",": a country or region brought under the control of the ancient Roman government : an administrative district or division of a country : all of a country except the metropolises : a division of a country forming the jurisdiction of an archbishop or metropolitan : a territorial unit of a religious order : a biogeographic division of less rank than a region : an area that exhibits essential continuity of geologic history : one characterized by particular structural or petrological features : proper or appropriate function or scope : SPHERE : a department of knowledge or activity"
"provinces",": a country or region brought under the control of the ancient Roman government : an administrative district or division of a country : all of a country except the metropolises : a division of a country forming the jurisdiction of an archbishop or metropolitan : a territorial unit of a religious order : a biogeographic division of less rank than a region : an area that exhibits essential continuity of geologic history : one characterized by particular structural or petrological features : proper or appropriate function or scope : SPHERE : a department of knowledge or activity"
"provincial",": the superior of a province of a Roman Catholic religious order : one living in or coming from a province : a person of local or restricted interests or outlook : a person lacking urban polish or refinement"
"proving",": to establish the existence, truth, or validity of (as by evidence or logic) : to demonstrate as having a particular quality or worth : to show (oneself) to be worthy or capable : to test the truth, validity, or genuineness of : to test the worth or quality of : to compare against a standard : to check the correctness of (something, such as an arithmetic result) : to learn or find out by experience"
"provision",": the act or process of providing : the fact or state of being prepared beforehand : a measure taken beforehand to deal with a need or contingency : PREPARATION : a stock of needed materials or supplies : a stock of food : PROVISO, STIPULATION"
"provisional",": serving for the time being : TEMPORARY"
"provisions",": the act or process of providing : the fact or state of being prepared beforehand : a measure taken beforehand to deal with a need or contingency : PREPARATION : a stock of needed materials or supplies : a stock of food : PROVISO, STIPULATION"
"provocation",": the act of provoking : INCITEMENT : something that provokes, arouses, or stimulates"
"provocative",": serving or tending to provoke, excite, or stimulate"
"provoke",": to call forth (a feeling, an action, etc.) : EVOKE : to stir up purposely : to provide the needed stimulus for : to incite to anger : to arouse to a feeling or action"
"provoked",": to call forth (a feeling, an action, etc.) : EVOKE : to stir up purposely : to provide the needed stimulus for : to incite to anger : to arouse to a feeling or action"
"provoking",": causing mild anger : ANNOYING"
"provost",": the chief dignitary of a collegiate or cathedral chapter : the chief magistrate of a Scottish burgh : the keeper of a prison : a high-ranking university administrative officer"
"prowess",": distinguished bravery : military valor and skill : extraordinary ability"
"prowl",": to move about or wander stealthily in or as if in search of prey"
"proxies",": the agency, function, or office of a deputy who acts as a substitute for another : authority or power to act for another : a document giving such authority : a power of attorney authorizing a specified person to vote corporate stock : a person authorized to act for another : PROCURATOR"
"proximal",": situated close to : PROXIMATE : next to or nearest the point of attachment or origin, a central point, or the point of view : located toward the center of the body
compare DISTAL : of, relating to, or being the mesial and distal surfaces of a tooth"
"proximity",": the quality or state of being proximate : CLOSENESS"
"proxy",": the agency, function, or office of a deputy who acts as a substitute for another : authority or power to act for another : a document giving such authority : a power of attorney authorizing a specified person to vote corporate stock : a person authorized to act for another : PROCURATOR"
"prude",": a person who is excessively or priggishly attentive to propriety or decorum : a woman who shows or affects extreme modesty"
"prudence",": the ability to govern and discipline oneself by the use of reason : sagacity or shrewdness in the management of affairs : skill and good judgment in the use of resources : caution or circumspection as to danger or risk"
"prudent",": characterized by, arising from, or showing prudence: such as : marked by wisdom or judiciousness : shrewd in the management of practical affairs : marked by circumspection : DISCREET : PROVIDENT, FRUGAL"
"prudential",": of, relating to, or proceeding from prudence : exercising prudence especially in business matters"
"prune",": a plum dried or capable of drying without fermentation"
"pruning",": a plum dried or capable of drying without fermentation"
"pry",": to look closely or inquisitively : to make a nosy or presumptuous inquiry"
"ps","picosecond"
