"spectacular",": of, relating to, or being a spectacle : STRIKING, SENSATIONAL"
"starring",": a natural luminous body visible in the sky especially at night : a self-luminous gaseous spheroidal celestial body of great mass which produces energy by means of nuclear fusion reactions : a planet or a configuration of the planets that is held in astrology to influence one's destiny or fortune : a waxing or waning fortune or fame : DESTINY : a conventional figure with five or more points that represents a star : ASTERISK : an often star-shaped ornament or medal worn as a badge of honor, authority, or rank or as the insignia of an order : one of a group of conventional stars used to place something in a scale of value : something resembling a star : the principal member of a theatrical or operatic company who usually plays the chief roles : a highly publicized theatrical or movie performer : an outstandingly talented performer : a person who is preeminent in a particular field"
"starry",": adorned with stars : STAR-STUDDED : of, relating to, or consisting of stars : STELLAR : shining like stars : SPARKLING : having parts arranged like the rays of a star : STELLATE : as high as or seemingly as high as the stars : STARRY-EYED"
"stars",": a natural luminous body visible in the sky especially at night : a self-luminous gaseous spheroidal celestial body of great mass which produces energy by means of nuclear fusion reactions : a planet or a configuration of the planets that is held in astrology to influence one's destiny or fortune : a waxing or waning fortune or fame : DESTINY : a conventional figure with five or more points that represents a star : ASTERISK : an often star-shaped ornament or medal worn as a badge of honor, authority, or rank or as the insignia of an order : one of a group of conventional stars used to place something in a scale of value : something resembling a star : the principal member of a theatrical or operatic company who usually plays the chief roles : a highly publicized theatrical or movie performer : an outstandingly talented performer : a person who is preeminent in a particular field"
"starship",": a spacecraft designed for interstellar travel"
"start",": to move suddenly and violently : SPRING : to react with a sudden brief involuntary movement : to issue with sudden force : to come into being, activity, or operation : to protrude or seem to protrude : to become loosened or forced out of place : to begin a course or journey : to range from a specified initial point : to begin an activity or undertaking : to begin work : to be a participant in a game or contest : to be in the starting lineup"
"started",": to move suddenly and violently : SPRING : to react with a sudden brief involuntary movement : to issue with sudden force : to come into being, activity, or operation : to protrude or seem to protrude : to become loosened or forced out of place : to begin a course or journey : to range from a specified initial point : to begin an activity or undertaking : to begin work : to be a participant in a game or contest : to be in the starting lineup"
"starter",": a person who initiates or sets going: such as : an official who gives the signal to begin a race : one who dispatches vehicles : one that engages in a competition : a member of a starting lineup : one that begins to engage in an activity or process : one that causes something to begin operating: such as : a device for starting an engine : an electric motor used to start an internal combustion engine : material containing microorganisms (such as yeast) used to induce a desired fermentation : something that is the beginning of a process, activity, or series : APPETIZER"
"starters",": a person who initiates or sets going: such as : an official who gives the signal to begin a race : one who dispatches vehicles : one that engages in a competition : a member of a starting lineup : one that begins to engage in an activity or process : one that causes something to begin operating: such as : a device for starting an engine : an electric motor used to start an internal combustion engine : material containing microorganisms (such as yeast) used to induce a desired fermentation : something that is the beginning of a process, activity, or series : APPETIZER"
"starting",": to move suddenly and violently : SPRING : to react with a sudden brief involuntary movement : to issue with sudden force : to come into being, activity, or operation : to protrude or seem to protrude : to become loosened or forced out of place : to begin a course or journey : to range from a specified initial point : to begin an activity or undertaking : to begin work : to be a participant in a game or contest : to be in the starting lineup"
"startled",": to move or jump suddenly (as in surprise or alarm)"
"startling",": causing momentary fright, surprise, or astonishment"
"starts",": to move suddenly and violently : SPRING : to react with a sudden brief involuntary movement : to issue with sudden force : to come into being, activity, or operation : to protrude or seem to protrude : to become loosened or forced out of place : to begin a course or journey : to range from a specified initial point : to begin an activity or undertaking : to begin work : to be a participant in a game or contest : to be in the starting lineup"
"startup",": the act or an instance of setting in operation or motion : a fledgling business enterprise"
"starvation",": the act or an instance of starving : the state of being starved"
"starve",": to perish from lack of food : to suffer extreme hunger : to die of cold : to suffer greatly from cold : to suffer or perish from deprivation"
"starved",": to perish from lack of food : to suffer extreme hunger : to die of cold : to suffer greatly from cold : to suffer or perish from deprivation"
"starving",": to perish from lack of food : to suffer extreme hunger : to die of cold : to suffer greatly from cold : to suffer or perish from deprivation"
"stash",": to store in a usually secret place for future use"
"stat",": STATISTIC"
"state",": mode or condition of being : condition of mind or temperament : a condition of abnormal tension or excitement : a condition or stage in the physical being of something : any of various conditions characterized by definite quantities (as of energy, angular momentum, or magnetic moment) in which an atomic system may exist : social position : high rank : elaborate or luxurious style of living : formal dignity : POMP : a body of persons constituting a special class in a society : ESTATE sense 3 : the members or representatives of the governing classes assembled in a legislative body : a person of high rank (as a noble) : a politically organized body of people usually occupying a definite territory : one that is sovereign : the political organization of such a body of people : a government or politically organized society having a particular character : the operations or concerns of the government of a country : one of the constituent units of a nation having a federal government : The United States of America : the territory of a state"
"stated",": FIXED, REGULAR : set down explicitly : DECLARED"
"statehood",": the condition of being a state : the status of being one of the states of the U.S."
"stately",": marked by lofty or imposing dignity : HAUGHTY, UNAPPROACHABLE : impressive in size or proportions"
"statement",": something stated: such as : a single declaration or remark : ASSERTION : a report of facts or opinions : the act or process of stating or presenting orally or on paper : PROPOSITION sense 2a : the presentation of a theme in a musical composition : a summary of activity in a financial account over a particular period of time : an opinion, comment, or message conveyed indirectly usually by nonverbal means : an instruction in a computer program"
"statements",": something stated: such as : a single declaration or remark : ASSERTION : a report of facts or opinions : the act or process of stating or presenting orally or on paper : PROPOSITION sense 2a : the presentation of a theme in a musical composition : a summary of activity in a financial account over a particular period of time : an opinion, comment, or message conveyed indirectly usually by nonverbal means : an instruction in a computer program"
"states",": mode or condition of being : condition of mind or temperament : a condition of abnormal tension or excitement : a condition or stage in the physical being of something : any of various conditions characterized by definite quantities (as of energy, angular momentum, or magnetic moment) in which an atomic system may exist : social position : high rank : elaborate or luxurious style of living : formal dignity : POMP : a body of persons constituting a special class in a society : ESTATE sense 3 : the members or representatives of the governing classes assembled in a legislative body : a person of high rank (as a noble) : a politically organized body of people usually occupying a definite territory : one that is sovereign : the political organization of such a body of people : a government or politically organized society having a particular character : the operations or concerns of the government of a country : one of the constituent units of a nation having a federal government : The United States of America : the territory of a state"
"statesman",": one versed in the principles or art of government : one actively engaged in conducting the business of a government or in shaping its policies : a wise, skillful, and respected political leader"
"statewide",": affecting or extending throughout all parts of a state"
"static",": exerting force by reason of weight alone without motion : of or relating to bodies at rest or forces in equilibrium : showing little change : characterized by a lack of movement, animation, or progression : producing an effect of repose or quiescence : standing or fixed in one place : STATIONARY : stored in a tank but not under pressure : of, relating to, or producing stationary charges of electricity : ELECTROSTATIC : of, relating to, or caused by radio static"
"stating",": mode or condition of being : condition of mind or temperament : a condition of abnormal tension or excitement : a condition or stage in the physical being of something : any of various conditions characterized by definite quantities (as of energy, angular momentum, or magnetic moment) in which an atomic system may exist : social position : high rank : elaborate or luxurious style of living : formal dignity : POMP : a body of persons constituting a special class in a society : ESTATE sense 3 : the members or representatives of the governing classes assembled in a legislative body : a person of high rank (as a noble) : a politically organized body of people usually occupying a definite territory : one that is sovereign : the political organization of such a body of people : a government or politically organized society having a particular character : the operations or concerns of the government of a country : one of the constituent units of a nation having a federal government : The United States of America : the territory of a state"
"station",": the place or position in which something or someone stands or is assigned to stand or remain : any of the places in a manufacturing operation at which one part of the work is done : equipment used usually by one person for performing a particular job : the act or manner of standing : POSTURE : a stopping place: such as : a regular stopping place in a transportation route : the building connected with such a stopping place : DEPOT sense 3 : one of the stations of the cross : a post or sphere of duty or occupation : a stock farm or ranch especially of Australia or New Zealand : STANDING, RANK : a place for specialized observation and study of scientific phenomena : a place established to provide a public service: such as : FIRE STATION : POLICE STATION : a branch post office : GAS STATION : a complete assemblage of radio or television equipment for transmitting or receiving : the place in which such a station is located"
"stationary",": fixed in a station, course, or mode : IMMOBILE : unchanging in condition"
"stationed",": the place or position in which something or someone stands or is assigned to stand or remain : any of the places in a manufacturing operation at which one part of the work is done : equipment used usually by one person for performing a particular job : the act or manner of standing : POSTURE : a stopping place: such as : a regular stopping place in a transportation route : the building connected with such a stopping place : DEPOT sense 3 : one of the stations of the cross : a post or sphere of duty or occupation : a stock farm or ranch especially of Australia or New Zealand : STANDING, RANK : a place for specialized observation and study of scientific phenomena : a place established to provide a public service: such as : FIRE STATION : POLICE STATION : a branch post office : GAS STATION : a complete assemblage of radio or television equipment for transmitting or receiving : the place in which such a station is located"
"stationery",": materials (such as paper, pens, and ink) for writing or typing : letter paper usually accompanied with matching envelopes"
"stations",": the place or position in which something or someone stands or is assigned to stand or remain : any of the places in a manufacturing operation at which one part of the work is done : equipment used usually by one person for performing a particular job : the act or manner of standing : POSTURE : a stopping place: such as : a regular stopping place in a transportation route : the building connected with such a stopping place : DEPOT sense 3 : one of the stations of the cross : a post or sphere of duty or occupation : a stock farm or ranch especially of Australia or New Zealand : STANDING, RANK : a place for specialized observation and study of scientific phenomena : a place established to provide a public service: such as : FIRE STATION : POLICE STATION : a branch post office : GAS STATION : a complete assemblage of radio or television equipment for transmitting or receiving : the place in which such a station is located"
"statistic",": a single term or datum in a collection of statistics : a quantity (such as the mean of a sample) that is computed from a sample : ESTIMATE sense 1b : a random variable that takes on the possible values of a statistic"
"statistical",": of, relating to, based on, or employing the principles of statistics"
"statistically",": of, relating to, based on, or employing the principles of statistics"
"statistics",": a branch of mathematics dealing with the collection, analysis, interpretation, and presentation of masses of numerical data : a collection of quantitative data"
"stats",": STATISTIC"
"statue",": a three-dimensional representation usually of a person, animal, or mythical being that is produced by sculpturing, modeling, or casting"
"statues",": a three-dimensional representation usually of a person, animal, or mythical being that is produced by sculpturing, modeling, or casting"
"stature",": natural height (as of a person) in an upright position : quality or status gained by growth, development, or achievement"
"status",": position or rank in relation to others : relative rank in a hierarchy of prestige : high prestige : the condition of a person or thing in the eyes of the law : state or condition with respect to circumstances"
"statute",": a law enacted by the legislative branch of a government : an act of a corporation or of its founder intended as a permanent rule : an international instrument setting up an agency and regulating its scope or authority"
"statutes",": a law enacted by the legislative branch of a government : an act of a corporation or of its founder intended as a permanent rule : an international instrument setting up an agency and regulating its scope or authority"
"statutory",": of or relating to statutes : enacted, created, or regulated by statute"
"staunch",": steadfast in loyalty or principle : WATERTIGHT, SOUND : strongly built : SUBSTANTIAL"
"stave",": any of the narrow strips of wood or narrow iron plates placed edge to edge to form the sides, covering, or lining of a vessel (such as a barrel) or structure : STAFF entry 1 sense 1 : STAFF entry 1 sense 3 : STANZA sense 1"
"stay",": a large strong rope usually of wire used to support a mast : GUY entry 2"
"stayed",": a large strong rope usually of wire used to support a mast : GUY entry 2"
"staying",": a large strong rope usually of wire used to support a mast : GUY entry 2"
"stays",": a large strong rope usually of wire used to support a mast : GUY entry 2"
"stead",": the office, place, or function ordinarily occupied or carried out by someone or something else : ADVANTAGE : LOCALITY, PLACE"
"steadfast",": firmly fixed in place : IMMOVABLE : not subject to change : firm in belief, determination, or adherence : LOYAL"
"steadily",": direct or sure in movement : UNFALTERING : firm in position : FIXED : keeping nearly upright in a seaway : showing little variation or fluctuation : STABLE, UNIFORM : not easily disturbed or upset : constant in feeling, principle, purpose, or attachment : DEPENDABLE : not given to dissipation : SOBER"
"steady",": direct or sure in movement : UNFALTERING : firm in position : FIXED : keeping nearly upright in a seaway : showing little variation or fluctuation : STABLE, UNIFORM : not easily disturbed or upset : constant in feeling, principle, purpose, or attachment : DEPENDABLE : not given to dissipation : SOBER"
"steak",": a slice of meat cut from a fleshy part of a beef carcass : a similar slice of a specified meat other than beef : a cross-section slice of a large fish : a thick slice or piece of a non-meat food especially when prepared or served in the manner of a beef steak : ground beef prepared for cooking or for serving in the manner of a steak : a non-meat food formed into a patty and cooked"
"steaks",": a slice of meat cut from a fleshy part of a beef carcass : a similar slice of a specified meat other than beef : a cross-section slice of a large fish : a thick slice or piece of a non-meat food especially when prepared or served in the manner of a beef steak : ground beef prepared for cooking or for serving in the manner of a steak : a non-meat food formed into a patty and cooked"
"steal",": to take the property of another wrongfully and especially as a habitual or regular practice : to come or go secretly, unobtrusively, gradually, or unexpectedly : to steal or attempt to steal a base"
"stealing",": to take the property of another wrongfully and especially as a habitual or regular practice : to come or go secretly, unobtrusively, gradually, or unexpectedly : to steal or attempt to steal a base"
"steals",": to take the property of another wrongfully and especially as a habitual or regular practice : to come or go secretly, unobtrusively, gradually, or unexpectedly : to steal or attempt to steal a base"
"stealth",": a cautious, unobtrusive, and secretive way of moving or proceeding intended to avoid detection : an aircraft-design characteristic consisting of oblique angular construction and avoidance of vertical surfaces that is intended to produce a very weak radar return : THEFT : something stolen"
"steam",": a vapor arising from a heated substance : the invisible vapor into which water is converted when heated to the boiling point : the mist formed by the condensation on cooling of water vapor : water vapor kept under pressure so as to supply energy for heating, cooking, or mechanical work : the power so generated : active force : POWER, MOMENTUM : normal force : pent-up emotional tension : STEAMER sense 2a : travel by or a trip in a steamer"
"steamboat",": a boat driven by steam power : a shallow-draft vessel used on inland waterways"
"steamed",": cooked by steam : ANGRY sense 1"
"steamer",": a vessel in which articles are subjected to steam : a ship propelled by steam : an engine, machine, or vehicle operated or propelled by steam : one that steams : SOFT-SHELL CLAM"
"steaming",": a vapor arising from a heated substance : the invisible vapor into which water is converted when heated to the boiling point : the mist formed by the condensation on cooling of water vapor : water vapor kept under pressure so as to supply energy for heating, cooking, or mechanical work : the power so generated : active force : POWER, MOMENTUM : normal force : pent-up emotional tension : STEAMER sense 2a : travel by or a trip in a steamer"
"steamship",": STEAMER sense 2a"
"steamy",": consisting of, characterized by, or full of steam : intensely or uncomfortably hot: such as : hot and humid : sensually hot : EROTIC"
"steed",": a horse used or trained for riding : a spirited horse"
"steel",": commercial iron that contains carbon in any amount up to about 1.7 percent as an essential alloying constituent, is malleable when under suitable conditions, and is distinguished from cast iron by its malleability and lower carbon content : an instrument or implement of or characteristically of steel: such as : a thrusting or cutting weapon : an instrument (such as a fluted round rod with a handle) for sharpening knives : a piece of steel for striking sparks from flint : a quality (such as hardness of mind or spirit) that suggests steel : the steel manufacturing industry : shares of stock in steel companies"
"steelers",": one that steels : a smith who steels edged tools : one that inserts steels (as in corsets) : BONER"
"steep",": LOFTY, HIGH : making a large angle with the plane of the horizon : mounting or falling precipitously : being or characterized by a rapid and intensive decline or increase : extremely or excessively high"
"steeped",": LOFTY, HIGH : making a large angle with the plane of the horizon : mounting or falling precipitously : being or characterized by a rapid and intensive decline or increase : extremely or excessively high"
"steer",": a male bovine animal and especially a domestic ox (Bos taurus) castrated before sexual maturity
compare STAG sense 3 : an ox less than four years old"
"steered",": a male bovine animal and especially a domestic ox (Bos taurus) castrated before sexual maturity
compare STAG sense 3 : an ox less than four years old"
"steering",": a male bovine animal and especially a domestic ox (Bos taurus) castrated before sexual maturity
compare STAG sense 3 : an ox less than four years old"
"stein",": a large mug (as of earthenware) used especially for beer : the quantity of beer that a stein holds"
"stella",": an experimental international coin based on the metric system that was issued by the U.S. in 1879 and 1880 and was worth about four dollars"
"stellar",": of or relating to the stars : ASTRAL : composed of stars : of or relating to a theatrical or film star : PRINCIPAL, LEADING : OUTSTANDING"
"stem",": the main trunk of a plant : a primary plant axis that develops buds and shoots instead of roots : a plant part (such as a branch, petiole, or stipe) that supports another (such as a leaf or fruit) : the complete fruiting stalk of a banana plant with its bananas : the main upright member at the bow of a ship : the bow or prow of a ship
compare STERN : a line of ancestry : STOCK : a fundamental line from which others have arisen : the part of an inflected word that remains after the inflected part is removed : ROOT sense 6 : something held to resemble a plant stem: such as : a main or heavy stroke of a letter : the short perpendicular line extending from the head of a musical note : the part of a tobacco pipe from the bowl outward : the cylindrical support of a piece of stemware (such as a goblet) : a shaft of a watch used for winding"
"stemmed","Definition not found"
"stemming","Definition not found"
"stems","Definition not found"
"stench","Definition not found"
"step","Definition not found"
"stepfather","Definition not found"
"stepmother","Definition not found"
"stepped","Definition not found"
"stepping","Definition not found"
"steps","Definition not found"
"stereo","Definition not found"
"stereotype","Definition not found"
"stereotypes","Definition not found"
"stereotypical","Definition not found"
"sterile","Definition not found"
"sterilization","Definition not found"
"sterling","Definition not found"
"stern","Definition not found"
"steroid",": any of various compounds containing a 17-carbon 4-ring system and including the sterols and numerous hormones (such as anabolic steroids or corticosteroids) and glycosides : ANABOLIC STEROID see also STEROID HORMONE"
"steroids",": any of various compounds containing a 17-carbon 4-ring system and including the sterols and numerous hormones (such as anabolic steroids or corticosteroids) and glycosides : ANABOLIC STEROID see also STEROID HORMONE"
"steven",": VOICE : NOISE, UPROAR"
"stevens","John 1749–1838 American inventor"
"stew",": a utensil used for boiling : a hot bath : BROTHEL : a district of brothels : fish or meat usually with vegetables prepared by stewing : a heterogeneous mixture : a state of heat and congestion : a state of excitement, worry, or confusion"
"steward",": one employed in a large household or estate to manage domestic concerns (such as the supervision of servants, collection of rents, and keeping of accounts) : SHOP STEWARD : a fiscal agent : an employee on a ship, airplane, bus, or train who manages the provisioning of food and attends passengers : one appointed to supervise the provision and distribution of food and drink in an institution : one who actively directs affairs : MANAGER"
"stewards",": one employed in a large household or estate to manage domestic concerns (such as the supervision of servants, collection of rents, and keeping of accounts) : SHOP STEWARD : a fiscal agent : an employee on a ship, airplane, bus, or train who manages the provisioning of food and attends passengers : one appointed to supervise the provision and distribution of food and drink in an institution : one who actively directs affairs : MANAGER"
"stewardship",": the office, duties, and obligations of a steward : the conducting, supervising, or managing of something : the careful and responsible management of something entrusted to one's care"
"stick",": a woody piece or part of a tree or shrub: such as : a usually dry or dead severed shoot, twig, or slender branch : a cut or broken branch or piece of wood gathered for fuel or construction material : a long slender piece of wood or metal: such as : a club or staff used as a weapon : WALKING STICK : an implement used for striking or propelling an object in a game : something used to force compliance : a baton symbolizing an office or dignity : a person entitled to bear such a baton : a piece of the materials composing something (such as a building) : any of various implements resembling a stick in shape, origin, or use: such as : COMPOSING STICK : an airplane lever operating the elevators and ailerons : the gearshift lever of an automobile : something prepared (as by cutting, molding, or rolling) in a relatively long and slender often cylindrical form : PERSON, CHAP : a dull, inert, stiff, or spiritless person : remote usually rural districts regarded especially as backward, dull, or unsophisticated : BOONDOCKS : an herbaceous stalk resembling a woody stick : MAST entry 1 sense 1 : YARD entry 1 sense 4 : a piece of furniture : a number of bombs arranged for release from a bombing plane in a series across a target : a number of parachutists dropping together : a marijuana cigarette : punishment or the threat of punishment used to force compliance or cooperation : CRITICISM, ABUSE"
"sticker",": one that pierces with a point : one that adheres or causes adhesion : a slip of paper with adhesive back that can be fastened to a surface"
"stickers",": one that pierces with a point : one that adheres or causes adhesion : a slip of paper with adhesive back that can be fastened to a surface"
"sticking",": a woody piece or part of a tree or shrub: such as : a usually dry or dead severed shoot, twig, or slender branch : a cut or broken branch or piece of wood gathered for fuel or construction material : a long slender piece of wood or metal: such as : a club or staff used as a weapon : WALKING STICK : an implement used for striking or propelling an object in a game : something used to force compliance : a baton symbolizing an office or dignity : a person entitled to bear such a baton : a piece of the materials composing something (such as a building) : any of various implements resembling a stick in shape, origin, or use: such as : COMPOSING STICK : an airplane lever operating the elevators and ailerons : the gearshift lever of an automobile : something prepared (as by cutting, molding, or rolling) in a relatively long and slender often cylindrical form : PERSON, CHAP : a dull, inert, stiff, or spiritless person : remote usually rural districts regarded especially as backward, dull, or unsophisticated : BOONDOCKS : an herbaceous stalk resembling a woody stick : MAST entry 1 sense 1 : YARD entry 1 sense 4 : a piece of furniture : a number of bombs arranged for release from a bombing plane in a series across a target : a number of parachutists dropping together : a marijuana cigarette : punishment or the threat of punishment used to force compliance or cooperation : CRITICISM, ABUSE"
"sticks",": a woody piece or part of a tree or shrub: such as : a usually dry or dead severed shoot, twig, or slender branch : a cut or broken branch or piece of wood gathered for fuel or construction material : a long slender piece of wood or metal: such as : a club or staff used as a weapon : WALKING STICK : an implement used for striking or propelling an object in a game : something used to force compliance : a baton symbolizing an office or dignity : a person entitled to bear such a baton : a piece of the materials composing something (such as a building) : any of various implements resembling a stick in shape, origin, or use: such as : COMPOSING STICK : an airplane lever operating the elevators and ailerons : the gearshift lever of an automobile : something prepared (as by cutting, molding, or rolling) in a relatively long and slender often cylindrical form : PERSON, CHAP : a dull, inert, stiff, or spiritless person : remote usually rural districts regarded especially as backward, dull, or unsophisticated : BOONDOCKS : an herbaceous stalk resembling a woody stick : MAST entry 1 sense 1 : YARD entry 1 sense 4 : a piece of furniture : a number of bombs arranged for release from a bombing plane in a series across a target : a number of parachutists dropping together : a marijuana cigarette : punishment or the threat of punishment used to force compliance or cooperation : CRITICISM, ABUSE"
"sticky",": ADHESIVE : VISCOUS, GLUEY : coated with a sticky substance : HUMID, MUGGY : CLAMMY : tending to stick : DISAGREEABLE, UNPLEASANT : AWKWARD, STIFF : DIFFICULT, PROBLEMATIC : excessively sentimental : CLOYING"
"stiff",": not easily bent : RIGID : lacking in suppleness or flexibility : impeded in movement : DRUNK sense 1a : FIRM, RESOLUTE : STUBBORN, UNYIELDING : PROUD : marked by reserve or decorum : lacking in ease or grace : STILTED : hard fought : exerting great force : FORCEFUL, VIGOROUS : POTENT : of a dense or glutinous consistency : THICK : HARSH, SEVERE : ARDUOUS, RUGGED : not easily heeled over by an external force (such as the wind) : EXPENSIVE, STEEP"
"stiffness",": not easily bent : RIGID : lacking in suppleness or flexibility : impeded in movement : DRUNK sense 1a : FIRM, RESOLUTE : STUBBORN, UNYIELDING : PROUD : marked by reserve or decorum : lacking in ease or grace : STILTED : hard fought : exerting great force : FORCEFUL, VIGOROUS : POTENT : of a dense or glutinous consistency : THICK : HARSH, SEVERE : ARDUOUS, RUGGED : not easily heeled over by an external force (such as the wind) : EXPENSIVE, STEEP"
"stigma",": a set of negative and unfair beliefs that a society or group of people have about something : a mark of shame or discredit : STAIN : an identifying mark or characteristic : a specific diagnostic sign of a disease : the usually apical part of the pistil of a flower which receives the pollen grains and on which they germinate
see flower illustration : a small spot, scar, or opening on a plant or animal : bodily marks or pains resembling the wounds of the crucified Jesus and sometimes accompanying religious ecstasy : PETECHIA : a scar left by a hot iron : BRAND"
"stiles",": a step or set of steps for passing over a fence or wall : TURNSTILE"
"still",": devoid of or abstaining from motion : SEDENTARY : not effervescent : of, relating to, or being a static photograph as contrasted with a motion picture : designed for taking still photographs : engaged in taking still photographs : uttering no sound : QUIET : SUBDUED, MUTED : CALM, TRANQUIL : free from noise or turbulence"
"stills",": devoid of or abstaining from motion : SEDENTARY : not effervescent : of, relating to, or being a static photograph as contrasted with a motion picture : designed for taking still photographs : engaged in taking still photographs : uttering no sound : QUIET : SUBDUED, MUTED : CALM, TRANQUIL : free from noise or turbulence"
"stilt",": one of two poles each with a rest or strap for the foot used to elevate the wearer above the ground in walking : a pile or post serving as one of the supports of a structure above ground or water level : any of several very long-legged 3-toed shorebirds (genera Himantopus and Cladorhynchus) that are related to the avocets, frequent inland ponds and marshes, and nest in small colonies"
"stimulant",": an agent (such as a drug) that produces a temporary increase of the functional activity or efficiency of an organism or any of its parts : STIMULUS : an alcoholic beverage"
"stimulate",": to excite to activity or growth or to greater activity : ANIMATE, AROUSE : to function as a physiological stimulus to : to arouse or affect by a stimulant (such as a drug)"
"stimulated",": to excite to activity or growth or to greater activity : ANIMATE, AROUSE : to function as a physiological stimulus to : to arouse or affect by a stimulant (such as a drug)"
"stimulates",": to excite to activity or growth or to greater activity : ANIMATE, AROUSE : to function as a physiological stimulus to : to arouse or affect by a stimulant (such as a drug)"
"stimulating",": producing stimulation: such as : enjoyably exciting or interesting : acting as a stimulant : producing increased energy or alertness"
"stimulation",": to excite to activity or growth or to greater activity : ANIMATE, AROUSE : to function as a physiological stimulus to : to arouse or affect by a stimulant (such as a drug)"
"stimuli",": something that rouses or incites to activity: such as : INCENTIVE : STIMULANT sense 1 : an agent (such as an environmental change) that directly influences the activity of a living organism or one of its parts (as by exciting a sensory organ or evoking muscular contraction or glandular secretion)"
"stimulus",": something that rouses or incites to activity: such as : INCENTIVE : STIMULANT sense 1 : an agent (such as an environmental change) that directly influences the activity of a living organism or one of its parts (as by exciting a sensory organ or evoking muscular contraction or glandular secretion)"
"sting",": to prick painfully: such as : to pierce or wound with a poisonous or irritating process : to affect with sharp quick pain or smart : to cause to suffer acutely : OVERCHARGE, CHEAT"
"stinging",": to prick painfully: such as : to pierce or wound with a poisonous or irritating process : to affect with sharp quick pain or smart : to cause to suffer acutely : OVERCHARGE, CHEAT"
"stings",": to prick painfully: such as : to pierce or wound with a poisonous or irritating process : to affect with sharp quick pain or smart : to cause to suffer acutely : OVERCHARGE, CHEAT"
"stingy",": not generous or liberal : sparing or scant in using, giving, or spending : meanly scanty or small"
"stink",": to emit a strong offensive odor : to be offensive : to be in bad repute : to possess something to an offensive degree : to be extremely bad or unpleasant"
"stinking",": strong and offensive to the sense of smell : offensively drunk : CONTEMPTIBLE, LOUSY"
"stinks",": to emit a strong offensive odor : to be offensive : to be in bad repute : to possess something to an offensive degree : to be extremely bad or unpleasant"
"stinky",": to emit a strong offensive odor : to be offensive : to be in bad repute : to possess something to an offensive degree : to be extremely bad or unpleasant"
"stint",": a period of time spent at a particular activity : a definite quantity of work assigned : RESTRAINT, LIMITATION"
"stipend",": a fixed sum of money paid periodically for services or to defray expenses"
"stipulated",": to make an agreement or covenant to do or forbear something : CONTRACT : to demand an express term in an agreement"
"stir",": to cause an especially slight movement or change of position of : to disturb the quiet of : AGITATE : to disturb the relative position of the particles or parts of especially by a continued circular movement : to mix by or as if by stirring : BESTIR, EXERT : to bring into notice or debate : RAISE : to rouse to activity : evoke strong feelings in : to call forth (something, such as a memory) : EVOKE : PROVOKE"
"stirred",": to cause an especially slight movement or change of position of : to disturb the quiet of : AGITATE : to disturb the relative position of the particles or parts of especially by a continued circular movement : to mix by or as if by stirring : BESTIR, EXERT : to bring into notice or debate : RAISE : to rouse to activity : evoke strong feelings in : to call forth (something, such as a memory) : EVOKE : PROVOKE"
"stirring",": ACTIVE, BUSTLING : ROUSING, INSPIRING"
"stitch",": a local sharp and sudden pain especially in the side : one in-and-out movement of a threaded needle in sewing, embroidering, or suturing : a portion of thread left in the material or suture left in the tissue after one stitch : a least bit especially of clothing : a single loop of thread or yarn around an implement (such as a knitting needle or crochet hook) : a stitch or series of stitches formed in a particular way"
"stitched",": a local sharp and sudden pain especially in the side : one in-and-out movement of a threaded needle in sewing, embroidering, or suturing : a portion of thread left in the material or suture left in the tissue after one stitch : a least bit especially of clothing : a single loop of thread or yarn around an implement (such as a knitting needle or crochet hook) : a stitch or series of stitches formed in a particular way"
"stitches",": a local sharp and sudden pain especially in the side : one in-and-out movement of a threaded needle in sewing, embroidering, or suturing : a portion of thread left in the material or suture left in the tissue after one stitch : a least bit especially of clothing : a single loop of thread or yarn around an implement (such as a knitting needle or crochet hook) : a stitch or series of stitches formed in a particular way"
"stitching",": a local sharp and sudden pain especially in the side : one in-and-out movement of a threaded needle in sewing, embroidering, or suturing : a portion of thread left in the material or suture left in the tissue after one stitch : a least bit especially of clothing : a single loop of thread or yarn around an implement (such as a knitting needle or crochet hook) : a stitch or series of stitches formed in a particular way"
"stochastic",": RANDOM : involving a random variable : involving chance or probability : PROBABILISTIC"
