"colin",": the bobwhite or any of several related New World game birds"
"connecting",": to become joined : to meet for the transference of passengers : to transfer (as from one airplane to another) as a step in traveling to a final destination : to make a successful hit, shot, or throw : to have or establish a rapport : to establish a communications connection"
"connection",": the act of connecting : the state of being connected: such as : causal or logical relation or sequence : contextual relation or association : relationship in fact : a relation of personal intimacy (as of family ties) : COHERENCE, CONTINUITY : something that connects : LINK : a means of communication or transport : a person connected with another especially by marriage, kinship, or common interest : a political, social, professional, or commercial relationship : such as : POSITION, JOB : an arrangement to execute orders or advance interests of another : a source of contraband (such as illegal drugs) : a set of persons associated together: such as : DENOMINATION : CLAN"
"connections",": the act of connecting : the state of being connected: such as : causal or logical relation or sequence : contextual relation or association : relationship in fact : a relation of personal intimacy (as of family ties) : COHERENCE, CONTINUITY : something that connects : LINK : a means of communication or transport : a person connected with another especially by marriage, kinship, or common interest : a political, social, professional, or commercial relationship : such as : POSITION, JOB : an arrangement to execute orders or advance interests of another : a source of contraband (such as illegal drugs) : a set of persons associated together: such as : DENOMINATION : CLAN"
"connective",": serving to connect"
"connectivity",": the quality, state, or capability of being connective or connected : the ability to connect to or communicate with another computer or computer system"
"connector",": to become joined : to meet for the transference of passengers : to transfer (as from one airplane to another) as a step in traveling to a final destination : to make a successful hit, shot, or throw : to have or establish a rapport : to establish a communications connection"
"connectors",": to become joined : to meet for the transference of passengers : to transfer (as from one airplane to another) as a step in traveling to a final destination : to make a successful hit, shot, or throw : to have or establish a rapport : to establish a communications connection"
"connects",": to become joined : to meet for the transference of passengers : to transfer (as from one airplane to another) as a step in traveling to a final destination : to make a successful hit, shot, or throw : to have or establish a rapport : to establish a communications connection"
"conner",": one that tests or examines"
"connie",": INCONNU"
"connotations",": something suggested by a word or thing : IMPLICATION : the suggesting of a meaning by a word apart from the thing it explicitly names or describes : the signification of something : an essential property or group of properties of a thing named by a term in logic
compare DENOTATION"
"conquer",": to gain or acquire by force of arms : SUBJUGATE : to overcome by force of arms : VANQUISH : to gain mastery over or win by overcoming obstacles or opposition : to overcome by mental or moral power : SURMOUNT"
"conquered",": to gain or acquire by force of arms : SUBJUGATE : to overcome by force of arms : VANQUISH : to gain mastery over or win by overcoming obstacles or opposition : to overcome by mental or moral power : SURMOUNT"
"conquering",": to gain or acquire by force of arms : SUBJUGATE : to overcome by force of arms : VANQUISH : to gain mastery over or win by overcoming obstacles or opposition : to overcome by mental or moral power : SURMOUNT"
"conqueror",": one who conquers : one who wins a country in war, subdues or subjugates a people, or overcomes an adversary"
"conquest",": the act or process of conquering : something conquered : territory appropriated in war : a person whose favor or hand has been won"
"conquests",": the act or process of conquering : something conquered : territory appropriated in war : a person whose favor or hand has been won"
"cons","consecrated conservative consigned; consignment consolidated consonant constable constitution construction consul consulting"
"conscience",": the sense or consciousness of the moral goodness or blameworthiness of one's own conduct, intentions, or character together with a feeling of obligation to do right or be good : a faculty, power, or principle enjoining good acts : the part of the superego in psychoanalysis that transmits commands and admonitions to the ego : conformity to what one considers to be correct, right, or morally good : CONSCIENTIOUSNESS : sensitive regard for fairness or justice : SCRUPLE : CONSCIOUSNESS"
"conscientious","Definition not found"
"conscious","Definition not found"
"consciously","Definition not found"
"consciousness","Definition not found"
"consecrated","Definition not found"
"consecutive","Definition not found"
"consensual","Definition not found"
"consensus","Definition not found"
"consent","Definition not found"
"consented","Definition not found"
"consenting","Definition not found"
"consequence","Definition not found"
"consequences","Definition not found"
"consequent","Definition not found"
"consequential","Definition not found"
"consequently",": as a result : in view of the foregoing : ACCORDINGLY"
"conservancy",": a board regulating fisheries and navigation in a river or port : CONSERVATION : an organization or area designated to conserve and protect natural resources"
"conservation",": a careful preservation and protection of something : planned management of a natural resource to prevent exploitation, destruction, or neglect : the preservation of a physical quantity during transformations or reactions"
"conservatism",": inclination to preserve what is established : belief in the value of established and traditional practices in politics and society compare LIBERALISM sense 1 : a political philosophy based on tradition and social stability, stressing the importance of established hierarchies and institutions (such as religion, the family, and class structure), and preferring gradual development to abrupt change : such a philosophy calling for reduced taxation, for limited government regulation of business, industry and finance, for restriction of immigration, for a strong national defense, and for individual financial responsibility for personal needs (such as retirement income and health care coverage) and often including the aims of social conservatism : the principles and policies of a Conservative party (see CONSERVATIVE entry 1 sense 1b) : a Conservative party or its members : the tendency to prefer an existing system or situation and to be cautious about or suspicious of change : strong resistance to innovation : Conservative Judaism"
"conservative",": of, relating to, or favoring a philosophy of conservatism (see CONSERVATISM sense 1a), especially political conservatism (see CONSERVATISM sense 1b) and often also social conservatism : of or constituting a political party professing the principles of conservatism: such as : of or constituting a country's Conservative party : of or relating to any of various Conservative state-level political parties in the U.S. : tending or inclined to maintain existing views, conditions, or institutions : TRADITIONAL : marked by moderation or caution : marked by or relating to traditional norms of taste, elegance, style, or manners : tending to avoid qualities or elements that are novel, showy, etc. : of, relating to, or practicing Conservative Judaism : PRESERVATIVE : designed to preserve parts or restore or preserve function"
"conservatives",": of, relating to, or favoring a philosophy of conservatism (see CONSERVATISM sense 1a), especially political conservatism (see CONSERVATISM sense 1b) and often also social conservatism : of or constituting a political party professing the principles of conservatism: such as : of or constituting a country's Conservative party : of or relating to any of various Conservative state-level political parties in the U.S. : tending or inclined to maintain existing views, conditions, or institutions : TRADITIONAL : marked by moderation or caution : marked by or relating to traditional norms of taste, elegance, style, or manners : tending to avoid qualities or elements that are novel, showy, etc. : of, relating to, or practicing Conservative Judaism : PRESERVATIVE : designed to preserve parts or restore or preserve function"
"conservatory",": a greenhouse for growing or displaying plants : a school specializing in one of the fine arts"
"conserve",": to keep in a safe or sound state : to avoid wasteful or destructive use of : to preserve with sugar : to maintain (a quantity) constant during a process of chemical, physical, or evolutionary change"
"conserved",": to keep in a safe or sound state : to avoid wasteful or destructive use of : to preserve with sugar : to maintain (a quantity) constant during a process of chemical, physical, or evolutionary change"
"consider",": to think about carefully: such as : to think of especially with regard to taking some action : to take into account : to regard or treat in an attentive or kindly way : to gaze on steadily or reflectively : to come to judge or classify : REGARD : SUPPOSE"
"considerable",": worth consideration : SIGNIFICANT : large in extent or degree"
"considerably",": worth consideration : SIGNIFICANT : large in extent or degree"
"considerate",": marked by or given to careful consideration : CIRCUMSPECT : thoughtful of the rights and feelings of others"
"consideration",": continuous and careful thought : a matter weighed or taken into account when formulating an opinion or plan : a taking into account : thoughtful and sympathetic regard : an opinion obtained by reflection : ESTEEM, REGARD : RECOMPENSE, PAYMENT : the inducement to a contract or other legal transaction : an act or forbearance or the promise thereof done or given by one party in return for the act or promise of another"
"considerations",": continuous and careful thought : a matter weighed or taken into account when formulating an opinion or plan : a taking into account : thoughtful and sympathetic regard : an opinion obtained by reflection : ESTEEM, REGARD : RECOMPENSE, PAYMENT : the inducement to a contract or other legal transaction : an act or forbearance or the promise thereof done or given by one party in return for the act or promise of another"
"considered",": matured by extended deliberative thought : viewed with respect or esteem"
"considering",": in view of : taking into account"
"considers",": to think about carefully: such as : to think of especially with regard to taking some action : to take into account : to regard or treat in an attentive or kindly way : to gaze on steadily or reflectively : to come to judge or classify : REGARD : SUPPOSE"
"consist",": LIE, RESIDE : EXIST, BE : to be capable of existing : to be composed or made up : to be consistent"
"consisted",": LIE, RESIDE : EXIST, BE : to be capable of existing : to be composed or made up : to be consistent"
"consistency",": agreement or harmony of parts or features to one another or a whole : CORRESPONDENCE : ability to be asserted together without contradiction : harmony of conduct or practice with profession : degree of firmness, density, viscosity, or resistance to movement or separation of constituent particles : firmness of constitution or character : PERSISTENCY : condition of adhering together : firmness of material substance"
"consistent",": marked by harmony, regularity, or steady continuity : free from variation or contradiction : marked by agreement : COMPATIBLE : showing steady conformity to character, profession, belief, or custom : tending to be arbitrarily close to the true value of the parameter estimated as the sample becomes large : possessing firmness or coherence"
"consistently",": marked by harmony, regularity, or steady continuity : free from variation or contradiction : marked by agreement : COMPATIBLE : showing steady conformity to character, profession, belief, or custom : tending to be arbitrarily close to the true value of the parameter estimated as the sample becomes large : possessing firmness or coherence"
"consisting",": LIE, RESIDE : EXIST, BE : to be capable of existing : to be composed or made up : to be consistent"
"consists",": LIE, RESIDE : EXIST, BE : to be capable of existing : to be composed or made up : to be consistent"
"consolation",": the act or an instance of consoling : the state of being consoled : COMFORT : something that consoles : a contest held for those who have lost early in a tournament"
"console",": an architectural member projecting from a wall to form a bracket or from a keystone for ornament : CONSOLE TABLE : an upright case that houses the keyboards and controlling mechanisms of an organ and from which the organ is played : a combination of readouts or displays and an input device (such as a keyboard or switches) by which an operator can monitor and interact with a system (such as a computer or dubber) : a cabinet (as for a radio or television set) designed to rest directly on the floor : a small storage cabinet between bucket seats in an automobile : an electronic system that connects to a display (such as a television set) and is used primarily to play video games"
"consoles",": an architectural member projecting from a wall to form a bracket or from a keystone for ornament : CONSOLE TABLE : an upright case that houses the keyboards and controlling mechanisms of an organ and from which the organ is played : a combination of readouts or displays and an input device (such as a keyboard or switches) by which an operator can monitor and interact with a system (such as a computer or dubber) : a cabinet (as for a radio or television set) designed to rest directly on the floor : a small storage cabinet between bucket seats in an automobile : an electronic system that connects to a display (such as a television set) and is used primarily to play video games"
"consolidate",": to join together into one whole : UNITE : to make firm or secure : STRENGTHEN : to form into a compact mass"
"consolidated",": joined together into a coherent, compact, or unified whole : formed into a firm or solid mass"
"consolidating",": to join together into one whole : UNITE : to make firm or secure : STRENGTHEN : to form into a compact mass"
"consolidation",": the act or process of consolidating : the state of being consolidated : the process of uniting : the quality or state of being united : the unification of two or more corporations by dissolution of existing ones and creation of a single new corporation : pathological alteration of lung tissue from an aerated condition to one of solid consistency : the process by which a new memory is converted into a form that is stable and long-lasting"
"consonant",": being in agreement or harmony : free from elements making for discord : marked by musical consonances : having similar sounds : relating to or exhibiting consonance : RESONANT"
"consort",": ASSOCIATE : a ship accompanying another : SPOUSE
compare PRINCE CONSORT, QUEEN CONSORT"
"consortium",": an agreement, combination, or group (as of companies) formed to undertake an enterprise beyond the resources of any one member : ASSOCIATION, SOCIETY : the legal right of one spouse to the company, affection, and assistance of and to sexual relations with the other"
"conspicuous",": obvious to the eye or mind : attracting attention : STRIKING : marked by a noticeable violation of good taste"
"conspiracies",": the act of conspiring together : an agreement among conspirators : a group of conspirators"
"conspiracy",": the act of conspiring together : an agreement among conspirators : a group of conspirators"
"conspirators",": one who conspires : PLOTTER"
"conspired",": PLOT, CONTRIVE"
"conspiring",": PLOT, CONTRIVE"
"constable",": a high officer of a royal court or noble household especially in the Middle Ages : the warden or governor of a royal castle or a fortified town : a public officer usually of a town or township responsible for keeping the peace and for minor judicial duties : POLICE OFFICER : one ranking below sergeant"
"constant",": marked by firm steadfast resolution or faithfulness : exhibiting constancy of mind or attachment : INVARIABLE, UNIFORM : continually occurring or recurring : REGULAR"
"constantly",": without variation, deviation, or change : ALWAYS : with regular occurrence : INCESSANTLY"
"constants",": marked by firm steadfast resolution or faithfulness : exhibiting constancy of mind or attachment : INVARIABLE, UNIFORM : continually occurring or recurring : REGULAR"
"constellation",": the configuration of stars especially at one's birth : any of 88 arbitrary configurations of stars or an area of the celestial sphere covering one of these configurations : an assemblage, collection, or group of usually related persons, qualities, or things : PATTERN, ARRANGEMENT"
"constipation",": abnormally delayed or infrequent passage of usually dry hardened feces : STULTIFICATION"
"constituencies",": a body of citizens entitled to elect a representative (as to a legislative or executive position) : the residents in an electoral district : an electoral district : a group or body that patronizes, supports, or offers representation : the people involved in or served by an organization (such as a business or institution)"
"constituency",": a body of citizens entitled to elect a representative (as to a legislative or executive position) : the residents in an electoral district : an electoral district : a group or body that patronizes, supports, or offers representation : the people involved in or served by an organization (such as a business or institution)"
"constituent",": a member of a constituency : an essential part : COMPONENT, ELEMENT : one who authorizes another to act as agent : PRINCIPAL : a structural unit of a definable syntactic, semantic, or phonological category that consists of one or more linguistic elements (such as words, morphemes, or features) and that can occur as a component of a larger construction"
"constituents",": a member of a constituency : an essential part : COMPONENT, ELEMENT : one who authorizes another to act as agent : PRINCIPAL : a structural unit of a definable syntactic, semantic, or phonological category that consists of one or more linguistic elements (such as words, morphemes, or features) and that can occur as a component of a larger construction"
"constitute",": MAKE UP, FORM, COMPOSE : SET UP, ESTABLISH: such as : ENACT : FOUND : to give due or lawful form to : to legally process : to appoint to an office, function, or dignity"
"constituted",": MAKE UP, FORM, COMPOSE : SET UP, ESTABLISH: such as : ENACT : FOUND : to give due or lawful form to : to legally process : to appoint to an office, function, or dignity"
"constitutes",": MAKE UP, FORM, COMPOSE : SET UP, ESTABLISH: such as : ENACT : FOUND : to give due or lawful form to : to legally process : to appoint to an office, function, or dignity"
"constitution",": the basic principles and laws of a nation, state, or social group that determine the powers and duties of the government and guarantee certain rights to the people in it : a written instrument embodying the rules of a political or social organization : the physical makeup of the individual especially with respect to the health, strength, and appearance of the body : the structure, composition, physical makeup, or nature of something : the mode in which a state or society is organized : the manner in which sovereign power is distributed : an established law or custom : ORDINANCE : the act of establishing, making, or setting up"
"constitutional",": relating to, inherent in, or affecting the constitution of body or mind : of, relating to, or entering into the fundamental makeup of something : ESSENTIAL : being in accordance with or authorized by the constitution of a state or society : regulated by or ruling according to a constitution : of or relating to a constitution : loyal to or supporting an established constitution or form of government"
"constitutions",": the basic principles and laws of a nation, state, or social group that determine the powers and duties of the government and guarantee certain rights to the people in it : a written instrument embodying the rules of a political or social organization : the physical makeup of the individual especially with respect to the health, strength, and appearance of the body : the structure, composition, physical makeup, or nature of something : the mode in which a state or society is organized : the manner in which sovereign power is distributed : an established law or custom : ORDINANCE : the act of establishing, making, or setting up"
"constrained",": to force by imposed stricture, restriction, or limitation : to restrict the motion of (a mechanical body) to a particular mode : COMPRESS : to clasp tightly : to secure by or as if by bonds : CONFINE : LIMIT : to force or produce in an unnatural or strained manner : to hold back by or as if by force"
"constraint",": the act of constraining : the state of being checked, restricted, or compelled to avoid or perform some action : a constraining condition, agency, or force : CHECK : repression of one's own feelings, behavior, or actions : a sense of being constrained : EMBARRASSMENT"
"constraints",": the act of constraining : the state of being checked, restricted, or compelled to avoid or perform some action : a constraining condition, agency, or force : CHECK : repression of one's own feelings, behavior, or actions : a sense of being constrained : EMBARRASSMENT"
"construct",": to make or form by combining or arranging parts or elements : BUILD : CONTRIVE, DEVISE : to draw (a geometrical figure) with suitable instruments and under specified conditions : to set in logical order"
"constructed",": to make or form by combining or arranging parts or elements : BUILD : CONTRIVE, DEVISE : to draw (a geometrical figure) with suitable instruments and under specified conditions : to set in logical order"
"constructing",": to make or form by combining or arranging parts or elements : BUILD : CONTRIVE, DEVISE : to draw (a geometrical figure) with suitable instruments and under specified conditions : to set in logical order"
"construction",": the act or result of construing, interpreting, or explaining : the process, art, or manner of constructing something : a thing constructed : the construction industry : the arrangement and connection of words or groups of words in a sentence : syntactical arrangement : a sculpture that is put together out of separate pieces of often disparate materials"
"constructions",": the act or result of construing, interpreting, or explaining : the process, art, or manner of constructing something : a thing constructed : the construction industry : the arrangement and connection of words or groups of words in a sentence : syntactical arrangement : a sculpture that is put together out of separate pieces of often disparate materials"
"constructive",": declared such by judicial construction or interpretation : of or relating to construction or creation : promoting improvement or development"
"constructs",": to make or form by combining or arranging parts or elements : BUILD : CONTRIVE, DEVISE : to draw (a geometrical figure) with suitable instruments and under specified conditions : to set in logical order"
"construed",": to understand or explain the sense or intention of usually in a particular way or with respect to a given set of circumstances : to analyze the arrangement and connection of words in (a sentence or sentence part)"
"consul",": either of two annually elected chief magistrates of the Roman republic : one of three chief magistrates of the French republic from 1799 to 1804 : an official appointed by a government to reside in a foreign country to represent the commercial interests of citizens of the appointing country"
"consular",": of, relating to, or of the nature of a consul or a consul's office or duties"
"consulate",": a government by consuls : the office, term of office, or jurisdiction of a consul : the residence or official premises of a consul"
"consult",": to have regard to : CONSIDER : to ask the advice or opinion of : to refer to"
"consultancy",": the act or an instance of consulting : CONSULTATION : an agency that provides consulting services : the services provided by a consultancy or a consultant : the position of a consultant"
"consultant",": one who consults another : one who gives professional advice or services : EXPERT"
"consultants",": one who consults another : one who gives professional advice or services : EXPERT"
"consultation",": COUNCIL, CONFERENCE : a deliberation between physicians on a case or its treatment : the act of consulting or conferring"
"consultations",": COUNCIL, CONFERENCE : a deliberation between physicians on a case or its treatment : the act of consulting or conferring"
"consultative",": of, relating to, or intended for consultation : ADVISORY"
"consulted",": to have regard to : CONSIDER : to ask the advice or opinion of : to refer to"
"consulting",": providing professional or expert advice : of or relating to consultation or a consultant"
"consume",": to do away with completely : DESTROY : to spend wastefully : SQUANDER : USE UP : to eat or drink especially in great quantity : to enjoy avidly : DEVOUR : to engage fully : ENGROSS : to utilize as a customer"
"consumed",": to do away with completely : DESTROY : to spend wastefully : SQUANDER : USE UP : to eat or drink especially in great quantity : to enjoy avidly : DEVOUR : to engage fully : ENGROSS : to utilize as a customer"
"consumer",": one that consumes: such as : one that utilizes economic goods : an organism requiring complex organic compounds for food which it obtains by preying on other organisms or by eating particles of organic matter
compare PRODUCER sense 3"
"consumers",": one that consumes: such as : one that utilizes economic goods : an organism requiring complex organic compounds for food which it obtains by preying on other organisms or by eating particles of organic matter
compare PRODUCER sense 3"
"consumes",": to do away with completely : DESTROY : to spend wastefully : SQUANDER : USE UP : to eat or drink especially in great quantity : to enjoy avidly : DEVOUR : to engage fully : ENGROSS : to utilize as a customer"
"consuming",": deeply felt : ARDENT : ENGROSSING"
"consummate",": extremely skilled and accomplished : of the highest degree : complete in every detail : PERFECT"
"consumption",": the act or process of consuming : use by or exposure to a particular group or audience : use of something : TUBERCULOSIS : a progressive wasting away of the body especially from pulmonary tuberculosis"
"contact",": union or junction of surfaces : the apparent touching or mutual tangency of the limbs of two celestial bodies or of the disk of one body with the shadow of another during an eclipse, transit, or occultation : the junction of two electrical conductors through which a current passes : a special part made for such a junction : ASSOCIATION, RELATIONSHIP : CONNECTION, COMMUNICATION : an establishing of communication with someone or an observing or receiving of a significant signal from a person or object : a person serving as a go-between, messenger, connection, or source of special information : CONTACT LENS"
"contacted",": union or junction of surfaces : the apparent touching or mutual tangency of the limbs of two celestial bodies or of the disk of one body with the shadow of another during an eclipse, transit, or occultation : the junction of two electrical conductors through which a current passes : a special part made for such a junction : ASSOCIATION, RELATIONSHIP : CONNECTION, COMMUNICATION : an establishing of communication with someone or an observing or receiving of a significant signal from a person or object : a person serving as a go-between, messenger, connection, or source of special information : CONTACT LENS"
"contacting",": union or junction of surfaces : the apparent touching or mutual tangency of the limbs of two celestial bodies or of the disk of one body with the shadow of another during an eclipse, transit, or occultation : the junction of two electrical conductors through which a current passes : a special part made for such a junction : ASSOCIATION, RELATIONSHIP : CONNECTION, COMMUNICATION : an establishing of communication with someone or an observing or receiving of a significant signal from a person or object : a person serving as a go-between, messenger, connection, or source of special information : CONTACT LENS"
"contacts",": union or junction of surfaces : the apparent touching or mutual tangency of the limbs of two celestial bodies or of the disk of one body with the shadow of another during an eclipse, transit, or occultation : the junction of two electrical conductors through which a current passes : a special part made for such a junction : ASSOCIATION, RELATIONSHIP : CONNECTION, COMMUNICATION : an establishing of communication with someone or an observing or receiving of a significant signal from a person or object : a person serving as a go-between, messenger, connection, or source of special information : CONTACT LENS"
"contagion",": a contagious disease : the transmission of a disease by direct or indirect contact : a disease-producing agent (such as a virus) : POISON : contagious influence, quality, or nature : corrupting influence or contact : rapid communication of an influence (such as a doctrine or emotional state) : an influence that spreads rapidly"
"contagious",": transmissible by direct or indirect contact with an infected person see also CONTAGIOUS DISEASE : bearing contagion : used for contagious diseases : exciting similar emotions or conduct in others"
"contain",": to keep within limits: such as : RESTRAIN, CONTROL : CHECK, HALT : to follow successfully a policy of containment toward : to prevent (an enemy or opponent) from advancing or from making a successful attack : to have within : HOLD : COMPRISE, INCLUDE : to be divisible by usually without a remainder : ENCLOSE, BOUND"
"contained",": RESTRAINED : CALM"
"container",": one that contains: such as : a receptacle (such as a box or jar) for holding goods : a portable compartment in which freight is placed (as on a train or ship) for convenience of movement"
"containers",": one that contains: such as : a receptacle (such as a box or jar) for holding goods : a portable compartment in which freight is placed (as on a train or ship) for convenience of movement"
"containing",": to keep within limits: such as : RESTRAIN, CONTROL : CHECK, HALT : to follow successfully a policy of containment toward : to prevent (an enemy or opponent) from advancing or from making a successful attack : to have within : HOLD : COMPRISE, INCLUDE : to be divisible by usually without a remainder : ENCLOSE, BOUND"
"containment",": the act, process, or means of keeping something within limits : the policy, process, or result of preventing the expansion of a hostile power or ideology"
"contains",": to keep within limits: such as : RESTRAIN, CONTROL : CHECK, HALT : to follow successfully a policy of containment toward : to prevent (an enemy or opponent) from advancing or from making a successful attack : to have within : HOLD : COMPRISE, INCLUDE : to be divisible by usually without a remainder : ENCLOSE, BOUND"
"contaminants",": something that contaminates"
"contaminated",": soiled, stained, corrupted, or infected by contact or association : made unfit for use by the introduction of unwholesome or undesirable elements"
"contamination",": a process of contaminating : a state of being contaminated : CONTAMINANT"
"conte",": a usually short tale of adventure"
"contemplate",": to view or consider with continued attention : meditate on : to view as likely or probable or as an end or intention"
"contemplated",": to view or consider with continued attention : meditate on : to view as likely or probable or as an end or intention"
"contemplating",": to view or consider with continued attention : meditate on : to view as likely or probable or as an end or intention"
"contemplation",": concentration on spiritual things as a form of private devotion : a state of mystical awareness of God's being : an act of considering with attention : STUDY : the act of regarding steadily : INTENTION, EXPECTATION"
"contemporaries",": marked by characteristics of the present period : MODERN, CURRENT : SIMULTANEOUS : happening, existing, living, or coming into being during the same period of time"
"contemporary",": marked by characteristics of the present period : MODERN, CURRENT : SIMULTANEOUS : happening, existing, living, or coming into being during the same period of time"
"contempt",": the act of despising : the state of mind of one who despises : DISDAIN : lack of respect or reverence for something : the state of being despised : willful disobedience to or open disrespect of a court, judge, or legislative body"
"contend",": to strive or vie in contest or rivalry or against difficulties : STRUGGLE : to strive in debate : ARGUE"
"contended",": to strive or vie in contest or rivalry or against difficulties : STRUGGLE : to strive in debate : ARGUE"
"contender",": one that contends : a competitor for a championship or high honor"
"contenders",": one that contends : a competitor for a championship or high honor"
"contending",": to strive or vie in contest or rivalry or against difficulties : STRUGGLE : to strive in debate : ARGUE"
"contends",": to strive or vie in contest or rivalry or against difficulties : STRUGGLE : to strive in debate : ARGUE"
"content",": something contained : the topics or matter treated in a written work : the principal substance (such as written matter, illustrations, or music) offered by a website : SUBSTANCE, GIST : MEANING, SIGNIFICANCE : the events, physical detail, and information in a work of art
compare FORM sense 10c : the matter dealt with in a field of study : a part, element, or complex of parts : the amount of specified material contained : PROPORTION"
"contention",": a point advanced or maintained in a debate or argument : an act or instance of contending : RIVALRY, COMPETITION"
"contentious",": likely to cause disagreement or argument : exhibiting an often perverse and wearisome tendency to quarrels and disputes"
"contentment",": the quality or state of being contented : something that contents"
"contents",": something contained : the topics or matter treated in a written work : the principal substance (such as written matter, illustrations, or music) offered by a website : SUBSTANCE, GIST : MEANING, SIGNIFICANCE : the events, physical detail, and information in a work of art
compare FORM sense 10c : the matter dealt with in a field of study : a part, element, or complex of parts : the amount of specified material contained : PROPORTION"
"contest",": STRIVE, VIE"
"contestant",": one that participates in a contest : one that contests an award or decision"
"contestants",": one that participates in a contest : one that contests an award or decision"
"contested",": STRIVE, VIE"
"contesting",": STRIVE, VIE"
"contests",": STRIVE, VIE"
"context",": the parts of a discourse that surround a word or passage and can throw light on its meaning : the interrelated conditions in which something exists or occurs : ENVIRONMENT, SETTING"
"contexts",": the parts of a discourse that surround a word or passage and can throw light on its meaning : the interrelated conditions in which something exists or occurs : ENVIRONMENT, SETTING"
"contextual",": the parts of a discourse that surround a word or passage and can throw light on its meaning : the interrelated conditions in which something exists or occurs : ENVIRONMENT, SETTING"
"contiguous",": being in actual contact : touching along a boundary or at a point : ADJACENT sense 2 : next or near in time or sequence : touching or connected throughout in an unbroken sequence"
"continent",": one of the six or seven great divisions of land on the globe : the continent of Europe : MAINLAND : CONTAINER, CONFINES : EPITOME"
"continental",": of, relating to, or characteristic of a continent : of or relating to the continent of Europe excluding the British Isles : of, relating to, or being a cuisine derived from the classic dishes of Europe and especially France : of or relating to the colonies later forming the U.S. : being the part of the U.S. on the North American continent : being the part of the U.S. comprising the lower 48 states"
"continents",": one of the six or seven great divisions of land on the globe : the continent of Europe : MAINLAND : CONTAINER, CONFINES : EPITOME"
"contingency",": a contingent event or condition: such as : an event (such as an emergency) that may but is not certain to occur : something liable to happen as an adjunct to or result of something else : the quality or state of being contingent"
"contingent",": dependent on or conditioned by something else : likely but not certain to happen : POSSIBLE : not logically necessary : EMPIRICAL : happening by chance or unforeseen causes : subject to chance or unseen effects : UNPREDICTABLE : intended for use in circumstances not completely foreseen : not necessitated : determined by free choice"
"continual",": continuing indefinitely in time without interruption : recurring in steady usually rapid succession"
"continually",": in a continual manner : without stopping or interruption : in a constantly repeated manner : over and over"
"continuation","Definition not found"
"continue","Definition not found"
"continued","Definition not found"
"continues","Definition not found"
"continuing","Definition not found"
"continuity",": uninterrupted connection, succession, or union : uninterrupted duration or continuation especially without essential change : something that has, exhibits, or provides continuity: such as : a script or scenario in the performing arts : transitional spoken or musical matter especially for a radio or television program : the story and dialogue of a comic strip : the property of being mathematically continuous"
"continuous",": marked by uninterrupted extension in space, time, or sequence : having the property that the absolute value of the numerical difference between the value at a given point and the value at any point in a neighborhood of the given point can be made as close to zero as desired by choosing the neighborhood small enough"
"continuously",": in a continuous manner : without interruption"
"continuum",": a coherent whole characterized as a collection, sequence, or progression of values or elements varying by minute degrees : the set of real numbers including both the rationals and the irrationals : a compact set which cannot be separated into two sets neither of which contains a limit point of the other"
"contour",": an outline especially of a curving or irregular figure : SHAPE : the line representing this outline : the general form or structure of something : CHARACTERISTIC : a usually meaningful change in intonation in speech"
"contours",": an outline especially of a curving or irregular figure : SHAPE : the line representing this outline : the general form or structure of something : CHARACTERISTIC : a usually meaningful change in intonation in speech"
"contra",": AGAINST : in opposition or contrast to"
"contraband",": illegal or prohibited traffic in goods : SMUGGLING : goods or merchandise whose importation, exportation, or possession is forbidden : smuggled goods : an enslaved person who during the American Civil War escaped to or was brought within the Union lines"
"contraception",": deliberate prevention of conception or impregnation (as by the use of birth control pills, IUDs, condoms, coitus interruptus, vasectomy, or tubal ligation) : BIRTH CONTROL sense 1 : devices or preparations designed to prevent conception : devices or preparations (such as IUDs or birth control pills) that typically contain progestin either alone or in combination with estrogen and that prevent ovulation, thicken cervical mucus, or thin the uterine lining in order to prevent conception : BIRTH CONTROL sense 2 see also EMERGENCY CONTRACEPTION
compare CONTRACEPTIVE entry 1"
"contraceptive",": a device or preparation that is designed to prevent conception : a device or preparation (such as an IUD or birth control pill) that typically contains progestin either alone or in combination with estrogen and that prevents ovulation, thickens cervical mucus, or thins the uterine lining in order to prevent conception see also ORAL CONTRACEPTIVE, LONG-ACTING REVERSIBLE CONTRACEPTIVE
compare CONTRACEPTION sense 2"
"contraceptives",": a device or preparation that is designed to prevent conception : a device or preparation (such as an IUD or birth control pill) that typically contains progestin either alone or in combination with estrogen and that prevents ovulation, thickens cervical mucus, or thins the uterine lining in order to prevent conception see also ORAL CONTRACEPTIVE, LONG-ACTING REVERSIBLE CONTRACEPTIVE
compare CONTRACEPTION sense 2"
"contract",": a binding agreement between two or more persons or parties : one legally enforceable : a business arrangement for the supply of goods or services at a fixed price : the act of marriage or an agreement to marry : a document describing the terms of a contract : the final bid to win a specified number of tricks in bridge : an order or arrangement for a hired assassin to kill someone"
"contracted",": a binding agreement between two or more persons or parties : one legally enforceable : a business arrangement for the supply of goods or services at a fixed price : the act of marriage or an agreement to marry : a document describing the terms of a contract : the final bid to win a specified number of tricks in bridge : an order or arrangement for a hired assassin to kill someone"
"contracting",": a binding agreement between two or more persons or parties : one legally enforceable : a business arrangement for the supply of goods or services at a fixed price : the act of marriage or an agreement to marry : a document describing the terms of a contract : the final bid to win a specified number of tricks in bridge : an order or arrangement for a hired assassin to kill someone"
